# name	status	verified	params(known)	write-shaped	purpose
# one method per line; full entry at https://vs.izie.top/redocumented/api/methods/<name>.json
aiApps.editProfile	undocumented	existence-only (sample-checked)	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
aiApps.history	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
aiApps.list	undocumented	live-verified	params	-	List AI apps/agents in workspace
aiApps.setPhoto	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
analytics.clogData	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
api.features	undocumented	live-verified	params	-	Feature-gate flags for calling client
api.getFlannelHttpUrl	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
api.test	documented	docs-only	params	-	Checks API calling code.
app.uninstallTasks.list	undocumented	not-live-tested (source-only, typed but unverified)	params	-	params per slack-undoc-client generated types: (void / no params)
apps.actions.listForResource	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.actions.run	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.actions.v2.execute	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.actions.v2.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.activities.list	documented	docs-only	params	-	Get logs for a specified app
apps.approvals.requests.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
apps.auth.external.authMapping.update	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
apps.auth.external.delete	documented	docs-only	params	write	Delete external auth tokens only on the Slack side
apps.auth.external.get	documented	docs-only	params	-	Get the access token for the provided token ID
apps.auth.external.getFunctionAuth	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.auth.external.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.auth.external.start	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.auth.external.userAuths.get	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.certified.install	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.certified.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.connections.open	documented	docs-only	params	-	Generate a temporary Socket Mode WebSocket URL that your app can connect to in order to receive events and interactive payloads over.
apps.context.changed	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.datasources.external.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.fieldreferences.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.list	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.schema.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.schema.objects.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.schema.resync	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datasources.external.update	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.datastore.bulkDelete	documented	docs-only	params	-	Delete items from a datastore in bulk
apps.datastore.bulkGet	documented	docs-only	params	-	Get items from a datastore in bulk
apps.datastore.bulkPut	documented	docs-only	params	-	Creates or replaces existing items in bulk
apps.datastore.count	documented	docs-only	params	-	Count the number of items in a datastore that match a query
apps.datastore.delete	documented	docs-only	params	write	Delete an item from a datastore
apps.datastore.get	documented	docs-only	params	-	Get an item from a datastore
apps.datastore.put	documented	docs-only	params	-	Creates a new item, or replaces an old item with a new item.
apps.datastore.query	documented	docs-only	params	-	Query a datastore for items
apps.datastore.update	documented	docs-only	params	write	Edits an existing item's attributes, or adds a new item if it does not already exist.
apps.event.authorizations.list	documented	docs-only	params	-	Get a list of authorizations for the given event context. Each authorization represents an app installation that the event is visible to.
apps.home.dispatchOpenEvent	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.home.open	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.icon.set	documented	docs-only	params	write	Sets the app icon
apps.index.filters.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.index.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.index.search	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.limit	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.managed.permissions.set	documented	docs-only	params	write	Set who can interact with a managed app. Lets the builder who created a managed app on a partner platform configure the app's permissions as themselves, using a user token from the manager app. Permissions can only be set before the app is installed: if the app is already installed, this method makes no change and returns the app's current permissions.
apps.manifest.create	documented	docs-only	params	write	Create an app from an app manifest.
apps.manifest.delete	documented	docs-only	params	write	Permanently deletes an app created through app manifests. When called with a manager app token, this method can only delete apps that were created by that manager app.
apps.manifest.export	documented	docs-only	params	-	Export an app manifest from an existing app. When called with a manager app token, this method can only export apps that were created by that manager app.
apps.manifest.update	documented	docs-only	params	write	Update an app from an app manifest. When called with a manager app token, this method can only update apps that were created by that manager app.
apps.manifest.validate	documented	docs-only	params	-	Validate an app manifest
apps.onboarding.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.productivity.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.profile.get	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.profile.lookup	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.recommendations.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.scopes.groupedInfo	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.scopes.info	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.team.variables.delete	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.team.variables.get	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.team.variables.set	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
apps.uninstall	documented	docs-only	params	-	Uninstalls your app from a workspace.
apps.user.connection.status	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.user.connection.submit	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
apps.user.connection.update	documented	docs-only	params	write	Updates the connection status between a user and an app.
assistant.search.context	documented	docs-only	params	-	Searches messages, files, channels and users across your Slack organization.
assistant.search.info	documented	docs-only	params	-	Returns search capabilities on a given team.
assistant.threads.changeContext	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
assistant.threads.rename	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
assistant.threads.setStatus	documented	docs-only	params	write	Set the status for an AI assistant thread.
assistant.threads.setSuggestedPrompts	documented	docs-only	params	write	Set suggested prompts for the given assistant thread
assistant.threads.setTitle	documented	docs-only	params	write	Set the title for the given assistant thread
assistant.threads.startThread	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
audit.actions	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
audit.exportLogs	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
audit.logs	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.captcha	undocumented	not-live-tested (source-only, typed but unverified)	params	-	params per slack-undoc-client generated types: (void / no params)
auth.emailToken	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
auth.enterpriseSignout	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.findTeam	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
auth.loginMagic	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
auth.magicLogins.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
auth.passkeys.register.begin	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.passkeys.register.complete	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.passkeys.register.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.removePendingTeam	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.revoke	documented	docs-only	params	write	Revokes a token.
auth.signin	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
auth.signout	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
auth.teams.list	documented	docs-only	params	-	Obtain a full list of workspaces your org-wide app has been approved for.
auth.test	documented	docs-only	params	-	Checks authentication & identity.
auth.twofactor.slackbotMessage	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
avatars.crop	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
avatars.upload	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
bkb.ai.generate	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
blocks.actions	undocumented	live-verified	params	-	Clicks a Block Kit button in an app's message as the user; Slack forwards a block_actions payload (with trigger_id) to the app. Response is just ok:true; any modal the app opens arrives as an RTM view_opened event.
blocks.actionsPreview	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
blocks.format	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
blocks.suggestions	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
blocks.validate	documented	docs-only	params	-	Validates blocks, messages, and views Block Kit JSON payloads.
bookmarks.add	documented	docs-only	params	write	Add bookmark to a channel.
bookmarks.edit	documented	docs-only	params	write	Edit bookmark.
bookmarks.list	undocumented	partial	params	-	List channel bookmarks (also may be official)
bookmarks.preview	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
bookmarks.remove	documented	docs-only	params	write	Remove bookmark from the channel.
bookmarks.reorder	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
bots.info	documented	live-verified	params	-	Gets information about a bot user.
calbootstrap.contactsList	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.alerts.ack	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.alerts.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.alerts.snooze	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.disconnect	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.event.copy	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.event.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
calendar.event.getByEventLinkId	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.event.info	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.event.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.event.listByDateRange	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.event.next	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.event.rsvp	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.event.setLocation	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
calendar.freebusy	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.getConnectedCalendars	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.getInstalledCalendars	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.getNotificationPrefs	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.meetingPrep	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calendar.setNotificationPrefs	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.user.info	undocumented	existence-only (sample-checked)	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.user.status	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.user.toggleOooStatusSync	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calendar.user.toggleStatusSync	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calls.add	documented	docs-only	params	write	Registers a new Call.
calls.apps.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calls.end	documented	docs-only	params	-	Ends a Call.
calls.info	documented	docs-only	params	-	Returns information about a Call.
calls.participants.add	documented	docs-only	params	write	Registers new participants added to a Call.
calls.participants.remove	documented	docs-only	params	write	Registers participants removed from a Call.
calls.reject	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
calls.request	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
calls.update	documented	docs-only	params	write	Updates information about a Call.
canvases.access.delete	documented	docs-only	params	write	Remove access to a canvas for specified entities
canvases.access.set	documented	live-verified	params	write	Sets the access level to a canvas for specified entities
canvases.agents.list	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
canvases.create	documented	docs-only	params	write	Create canvas for a user
canvases.delete	documented	live-verified	params	write	Deletes a canvas
canvases.drafts.get	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
canvases.edit	documented	docs-only	params	write	Update an existing canvas
canvases.getCannedTemplates	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
canvases.getEmbedToken	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
canvases.getTemplates	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
canvases.listHeaders	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
canvases.notificationSections	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
canvases.sections.lookup	documented	docs-only	params	-	Find sections matching the provided criteria
channelAudit.exports.start	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
channelSections.channels.recommend	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
channelSections.recommend	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
channelSuggestions.fileCollaborators.info	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
channels.prefs.get	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
channels.prefs.set	undocumented	existence-only	params	write	Set per-channel prefs from a JSON string (who_can_post, can_thread, enable_at_here, enable_at_channel); huddlefm uses it on its private companion controls channel.
chat.action	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.appendStream	documented	docs-only	params	-	Appends text to an existing streaming conversation.
chat.attachmentAction	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
chat.attachmentSuggestion	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
chat.command	undocumented	not-live-tested	params	-	Run a slash command server-side
chat.delete	documented	docs-only	params	write	Deletes a message.
chat.deleteAttachment	undocumented	existence-only	params	write	(inferred from name only; see methods/datamine-2026-09.md)
chat.deleteBulkJoinLeave	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.deleteScheduledMessage	documented	docs-only	params	write	Deletes a pending scheduled message from the queue.
chat.getPermalink	documented	docs-only	params	-	Retrieve a permalink URL for a specific extant message
chat.meMessage	documented	docs-only	params	-	Share a me message into a channel.
chat.postEphemeral	documented	docs-only	params	write	Sends an ephemeral message to a user in a channel.
chat.postMessage	documented	docs-only	params	write	Sends a message to a channel.
chat.refreshUnfurl	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.removeFile	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.removeUnfurlLink	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.scheduleMessage	documented	docs-only	params	write	Schedules a message to be sent to a channel.
chat.scheduledMessages.list	documented	docs-only	params	-	Returns a list of scheduled messages.
chat.shareMessage	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.slugifyUrl	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.startStream	documented	docs-only	params	-	Starts a new streaming conversation.
chat.stopStream	documented	docs-only	params	-	Stops a streaming conversation.
chat.unfurl	documented	docs-only	params	-	Provide custom unfurl behavior for user-posted URLs
chat.unfurlContact	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.unfurlLink	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
chat.update	documented	docs-only	params	write	Updates a message.
client.appCommands	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
client.boot	undocumented	live-verified	params	-	Boot single-team web client state
client.channels	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
client.codeChannels.create	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
client.codeChannels.getBlockKitView	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
client.codeChannels.join	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
client.counts	undocumented	live-verified	params	-	Unread/mention counts
client.dms	undocumented	existence-only	params	-	DM history filters (Edge-style sync)
client.extras	undocumented	partial	params	-	Auxiliary boot payload
client.gantryBoot	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
client.getWebSocketURL	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
client.init	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
client.shouldReload	undocumented	partial	params	-	Client build-staleness check
client.userBoot	undocumented	live-verified	params	-	Boot org-wide user/client state
codeChannels.action	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
codeChannels.createAndStart	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
codeChannels.getDiff	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
codeChannels.getView	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
codeChannels.listSupportedApps	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
commands.list	undocumented	live-verified	params	-	List slash commands
compliance.exports.delete	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.list	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.listTokens	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.reactivateTokens	undocumented	existence-only (sample-checked)	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.revokeAllTokens	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.revokeTokens	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
compliance.exports.start	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
connectInvites.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
connectableContacts.lookup	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
contacts.add	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.acceptSharedInvite	documented	docs-only	params	-	Accepts an invitation to a Slack Connect channel.
conversations.addTab	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.approveSharedInvite	documented	docs-only	params	write	Approves an invitation to a Slack Connect channel
conversations.archive	documented	docs-only	params	write	Archives a conversation.
conversations.archive.recommendations	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.badgeCount	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.bulkArchive	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.bulkFetchMetadata	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.bulkJoin	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.bulkLeave	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.bulkReacjiTriggers	undocumented	not-live-tested	params	-	Bulk reacji trigger config
conversations.bulkRejoin	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.canCreateSharedInvite	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.canSetProperties	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.canvases.create	documented	live-verified	params	write	Create a channel canvas for a channel
conversations.channelPrefixes.create	undocumented	not-live-tested (source-only, typed but unverified)	params	write	params per slack-undoc-client generated types: prefix?: string; description?: string;
conversations.channelPrefixes.delete	undocumented	not-live-tested (source-only, typed but unverified)	params	write	params per slack-undoc-client generated types: prefix?: string;
conversations.channelPrefixes.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.close	documented	docs-only	params	write	Closes a direct message or multi-person direct message.
conversations.convertExternalLimited	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.convertToPrivate	undocumented	existence-only	params	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.convertToPublic	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.coreProdAIPrototype	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.create	documented	docs-only	params	write	Initiates a public or private channel-based conversation
conversations.createChild	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.createFromDmMpdm	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.declineSharedInvite	documented	docs-only	params	-	Declines a Slack Connect channel invite.
conversations.delete	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.disconnectShared	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.disconnectSharedTeam	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.emailaddresses.create	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.emailaddresses.delete	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.emailaddresses.info	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.emailaddresses.update	undocumented	existence-only	params	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.export	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.externalInvitePermissions.set	documented	docs-only	params	write	Upgrade or downgrade Slack Connect channel permissions between 'can post only' and 'can post and invite'.
conversations.findEligibleWorkspaces	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.genericInfo	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.getGeneral	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.getRetention	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.history	documented	docs-only	params	-	Fetches a conversation's history of messages and events.
conversations.historyChanges	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.ignoreInvite	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.ignoreUser	undocumented	existence-only	-	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.info	documented	live-verified	params	-	Retrieve information about a conversation.
conversations.invite	documented	docs-only	params	write	Invites users to a channel.
conversations.inviteShared	documented	docs-only	params	write	Sends an invitation to a Slack Connect channel
conversations.join	documented	docs-only	params	write	Joins an existing conversation.
conversations.joinConnectedShared	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.joinContext	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.joinPendingShared	undocumented	existence-only	-	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.kick	documented	docs-only	params	write	Removes a user from a conversation.
conversations.leave	documented	docs-only	params	write	Leaves a conversation.
conversations.leave.recommendations	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.list	documented	docs-only	params	-	Lists all channels in a Slack team.
conversations.listConnectInvites	documented	docs-only	params	-	Lists shared channel invites that have been generated or received but have not been approved by all parties
conversations.listPrefs	undocumented	not-live-tested	params	-	Per-conversation client prefs list
conversations.mark	documented	docs-only	params	write	Sets the read cursor in a channel.
conversations.meetingnotes.getLock	undocumented	existence-only	-	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.members	documented	docs-only	params	-	Retrieve members of a conversation.
conversations.moveTab	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.open	documented	docs-only	params	-	Opens or resumes a direct message or multi-person direct message.
conversations.pendingInvites.list	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.permissions.accountTypes.list	undocumented	existence-only	params	-	(inferred from name only; see methods/datamine-2026-09.md)
conversations.permissions.accountTypes.set	undocumented	existence-only	params	write	(inferred from name only; see methods/datamine-2026-09.md)
conversations.recommend	undocumented	existence-only	params	-	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
conversations.removeSharedLegacyRestriction	undocumented	existence-only	-	write	(from internal-canvas cross-reference; see methods/internal-canvas-2026.md)
